account_id,customer_id,account_type,open_date,status,opening_balance
A000074,C000074,Current,2020-02-02,Active,9433.01
A000075,C000075,Current,2020-02-02,Active,11267.55
A000076,C000076,Current,2006-12-12,Active,7152.6
A000077,C000077,Current,2022-12-18,Active,15196.03
A000078,C000078,Savings,2021-06-26,Active,7528.12
A000079,C000079,Current,2015-05-29,Active,13085.49
A000080,C000080,Current,2019-07-07,Active,15431.75
A000081,C000081,Current,2026-04-01,Active,8590.8
A000082,C000082,Current,2008-08-03,Active,9384.39
A000083,C000083,Current,2010-06-24,Active,311.77
A000084,C000084,Savings,2022-01-22,Active,3326.88
A000085,C000085,Current,2024-10-08,Active,11154.06
A000086,C000086,Current,2025-02-05,Active,10691.9
A000087,C000087,Savings,2019-11-04,Active,6128.73
A000088,C000088,Current,2014-10-01,Active,9012.72
A000089,C000089,Current,2026-03-02,Active,3527.75
A000090,C000090,Savings,2015-07-28,Active,16639.7
A000091,C000091,Savings,2010-08-23,Active,16168.5
A000092,C000092,Current,2026-04-01,Active,11933.1
A000093,C000093,Savings,2010-10-22,Active,942.04
A000094,C000094,Savings,2020-06-01,Active,361.96
A000095,C000095,Current,2022-05-22,Active,11779.26
A000096,C000096,Current,2014-02-03,Active,17188.08
A000097,C000097,Current,2015-04-29,Active,7491.55
A000098,C000098,Savings,2021-09-24,Active,9983.71
A000099,C000099,Current,2017-11-14,Active,11082.7
A000100,C000100,Savings,2010-06-24,Active,2142.79
A000101,C000101,Current,2006-11-12,Active,1359.74
A000102,C000102,Current,2018-01-13,Active,7192.31
A000103,C000103,Savings,2020-07-01,Active,7289.48
A000104,C000104,Savings,2014-04-04,Active,13000.75
A000105,C000105,Current,2022-04-22,Active,2640.93
A000106,C000106,Current,2021-11-23,Active,15881.45
A000107,C000107,Current,2023-12-13,Active,10841.41
A000108,C000108,Current,2024-04-11,Active,9296.22
A000109,C000109,Current,2009-01-30,Active,14031.33
A000110,C000110,Savings,2008-12-01,Active,8566.77
A000111,C000111,Current,2011-09-17,Active,11814.97
A000112,C000112,Current,2025-07-05,Active,6880.6
A000113,C000113,Savings,2010-02-24,Active,7558.71
A000114,C000114,Current,2006-10-13,Active,14469.69
A000115,C000115,Current,2021-06-26,Active,14981.03
A000116,C000116,Savings,2018-04-13,Active,15339.71
A000117,C000117,Savings,2011-06-19,Active,11662.95
A000118,C000118,Current,2007-10-08,Active,15763.26
A000119,C000119,Current,2022-01-22,Active,9122.52
A000120,C000120,Current,2020-06-01,Active,7187.49
A000121,C000121,Current,2007-06-10,Active,11076.88
A000122,C000122,Savings,2021-10-24,Active,15431.01
A000123,C000123,Current,2020-05-02,Active,1366.71
A000124,C000124,Savings,2021-06-26,Active,11770.92
A000125,C000125,Savings,2017-03-19,Active,14556.06
A000126,C000126,Current,2007-10-08,Active,1542.59
A000127,C000127,Savings,2011-10-17,Active,7776.8
A000128,C000128,Current,2008-02-05,Active,7191.43
A000129,C000129,Current,2023-09-14,Active,4294.28
A000130,C000130,Savings,2012-12-10,Active,16059.45
A000131,C000131,Savings,2011-06-19,Active,5187.45
A000132,C000132,Current,2022-04-22,Active,3477.21
A000133,C000133,Current,2020-07-01,Active,14716.53
A000134,C000134,Current,2007-08-09,Active,16740.19
A000135,C000135,Current,2014-07-03,Active,4249.01
A000136,C000136,Savings,2012-04-14,Active,12651.96
A000137,C000137,Current,2017-09-15,Active,13514.15
A000138,C000138,Current,2009-11-26,Active,7353.8
A000139,C000139,Current,2024-12-07,Active,14294.15
A000140,C000140,Current,2016-09-20,Active,10698.63
A000141,C000141,Savings,2007-05-11,Active,2611.41
A000142,C000142,Current,2016-11-19,Active,8064.6
A000143,C000143,Current,2009-04-30,Active,13392.79
A000144,C000144,Current,2015-03-30,Active,4613.76
A000145,C000145,Current,2024-06-10,Active,17521.57
A000146,C000146,Current,2007-08-09,Active,9526.59
A000147,C000147,Current,2008-02-05,Active,7484.31
A000148,C000148,Current,2019-08-06,Active,10216.12
A000149,C000149,Savings,2011-07-19,Active,5857.0
A000150,C000150,Current,2021-01-27,Active,2262.59
A000151,C000151,Savings,2013-11-05,Active,1828.39
A000152,C000152,Current,2020-08-30,Active,902.08
A000153,C000153,Savings,2021-09-24,Active,12163.38
A000154,C000154,Current,2009-11-26,Active,13452.71
A000155,C000155,Savings,2024-04-11,Active,3305.44
A000156,C000156,Current,2026-03-02,Active,888.21
A000157,C000157,Savings,2020-12-28,Active,1126.37
A000158,C000158,Savings,2011-04-20,Active,4521.99
A000159,C000159,Savings,2017-02-17,Active,10856.56
A000160,C000160,Current,2007-03-12,Active,16207.93
A000161,C000161,Current,2022-04-22,Active,1958.04
A000162,C000162,Current,2012-04-14,Active,4349.25
A000163,C000163,Current,2019-12-04,Active,11368.2
A000164,C000164,Current,2025-07-05,Active,1237.11
A000165,C000165,Current,2015-09-26,Active,15256.43
A000166,C000166,Current,2009-10-27,Active,14372.06
A000167,C000167,Current,2006-10-13,Active,17940.7
A000168,C000168,Current,2020-01-03,Active,4782.88
A000169,C000169,Current,2010-08-23,Active,3716.45
A000170,C000170,Current,2009-05-30,Active,7674.68
A000171,C000171,Current,2020-08-30,Active,6128.99
A000172,C000172,Current,2007-07-10,Active,8311.77
A000173,C000173,Savings,2019-11-04,Active,15264.13
A000174,C000174,Savings,2026-04-01,Active,12139.08
A000175,C000175,Savings,2010-02-24,Active,1610.91
A000176,C000176,Savings,2026-05-01,Active,9852.65
A000177,C000177,Savings,2017-11-14,Active,7609.92
A000178,C000178,Current,2014-11-30,Active,5500.05
A000179,C000179,Current,2023-03-18,Active,8803.25
A000180,C000180,Savings,2012-03-15,Active,14693.76
A000181,C000181,Current,2024-01-12,Active,5708.97
A000182,C000182,Current,2021-02-26,Active,3347.84
A000183,C000183,Current,2014-07-03,Active,10366.05
A000184,C000184,Current,2019-06-07,Active,17982.92
A000185,C000185,Current,2010-09-22,Active,5767.59
A000186,C000186,Current,2019-10-05,Active,7422.99
A000187,C000187,Current,2024-04-11,Active,2621.76
A000188,C000188,Current,2020-08-30,Active,3281.08
A000189,C000189,Current,2011-10-17,Active,11523.05
A000190,C000190,Savings,2024-01-12,Active,10471.54
A000191,C000191,Current,2013-08-07,Active,14975.5
A000192,C000192,Current,2008-10-02,Active,16828.86
A000193,C000193,Savings,2013-11-05,Active,5113.44
A000194,C000194,Current,2017-05-18,Active,16359.75
A000195,C000195,Current,2010-07-24,Active,16086.84
A000196,C000196,Current,2024-05-11,Active,11650.37
A000197,C000197,Savings,2011-05-20,Active,12733.12
A000198,C000198,Savings,2010-10-22,Active,7920.05
A000199,C000199,Current,2017-02-17,Active,15719.78
A000200,C000200,Savings,2010-09-22,Active,15335.27
A000201,C000201,Current,2011-11-16,Active,9261.99
A000202,C000202,Savings,2014-09-01,Active,3557.84
A000203,C000203,Savings,2026-03-02,Active,2084.28
A000204,C000204,Current,2006-11-12,Active,12339.8
A000205,C000205,Savings,2016-04-23,Active,15004.12
A000206,C000206,Current,2026-05-01,Active,12163.98
A000207,C000207,Savings,2012-12-10,Active,3956.48
A000208,C000208,Savings,2024-07-10,Active,16022.45
A000209,C000209,Savings,2026-03-02,Active,11789.01
A000210,C000210,Current,2019-09-05,Active,11934.01
A000211,C000211,Savings,2019-02-07,Active,13560.92
A000212,C000212,Current,2007-06-10,Active,3234.72
A000213,C000213,Savings,2014-08-02,Active,1727.58
A000214,C000214,Current,2009-06-29,Active,15627.23
A000215,C000215,Current,2017-12-14,Active,14942.99
A000216,C000216,Savings,2021-07-26,Active,3050.05
A000217,C000217,Savings,2018-11-09,Active,6941.45
A000218,C000218,Current,2009-12-26,Active,6831.3
A000219,C000219,Current,2026-04-01,Active,4700.55
A000220,C000220,Current,2009-04-30,Active,3447.4
A000221,C000221,Current,2025-08-04,Active,6819.45
A000222,C000222,Savings,2021-04-27,Active,11382.74
A000223,C000223,Savings,2021-01-27,Active,9518.47
A000224,C000224,Current,2007-11-07,Active,7998.53
A000225,C000225,Current,2025-12-02,Active,12284.75
A000226,C000226,Savings,2023-05-17,Active,13126.21
A000227,C000227,Current,2021-08-25,Active,17337.21
A000228,C000228,Current,2026-05-01,Active,13887.71
A000229,C000229,Savings,2011-12-16,Active,359.78
A000230,C000230,Savings,2021-09-24,Active,300.62
A000231,C000231,Current,2008-09-02,Active,17905.04
A000232,C000232,Current,2022-09-19,Active,11349.85
A000233,C000233,Savings,2014-04-04,Active,9333.24
A000234,C000234,Current,2016-05-23,Active,3279.49
A000235,C000235,Current,2020-12-28,Active,16291.06
A000236,C000236,Current,2016-08-21,Active,15730.57
A000237,C000237,Savings,2021-02-26,Active,11171.16
A000238,C000238,Current,2020-05-02,Active,10321.46
A000239,C000239,Savings,2024-03-12,Active,7512.97
A000240,C000240,Savings,2016-04-23,Active,7528.64
A000241,C000241,Current,2018-02-12,Active,969.7
A000242,C000242,Current,2010-06-24,Active,4621.34
A000243,C000243,Savings,2007-04-11,Active,17796.59
A000244,C000244,Savings,2019-09-05,Active,11445.76
A000245,C000245,Current,2014-03-05,Active,6710.56
A000246,C000246,Savings,2015-03-30,Active,14106.34
A000247,C000247,Current,2019-05-08,Active,10293.39
A000248,C000248,Current,2021-08-25,Active,12429.76
A000249,C000249,Current,2011-11-16,Active,11790.84
A000250,C000250,Current,2025-10-03,Active,3568.29
A000251,C000251,Current,2012-10-11,Active,14389.66
A000252,C000252,Current,2013-05-09,Active,8026.56
A000253,C000253,Current,2016-03-24,Active,4012.75
A000254,C000254,Current,2010-06-24,Active,14782.76
A000255,C000255,Current,2018-09-10,Active,14191.3
A000256,C000256,Current,2016-10-20,Active,464.1
A000257,C000257,Savings,2019-06-07,Active,10650.35
A000258,C000258,Savings,2023-01-17,Active,10991.69
A000259,C000259,Savings,2011-09-17,Active,16481.74
A000260,C000260,Savings,2024-12-07,Active,4624.24
A000261,C000261,Savings,2025-03-07,Active,15330.21
A000262,C000262,Savings,2018-09-10,Active,3642.02
A000263,C000263,Current,2009-11-26,Active,6207.08
A000264,C000264,Current,2016-05-23,Active,10113.82
A000265,C000265,Current,2020-09-29,Active,711.72
A000266,C000266,Current,2008-09-02,Active,9378.19
A000267,C000267,Savings,2023-10-14,Active,10978.24
A000268,C000268,Current,2015-07-28,Active,435.47
A000269,C000269,Current,2011-08-18,Active,10097.29
A000270,C000270,Current,2024-08-09,Active,8132.38
A000271,C000271,Current,2014-01-04,Active,12324.07
A000272,C000272,Savings,2011-05-20,Active,8413.65
A000273,C000273,Current,2025-11-02,Active,14510.02
A000274,C000274,Savings,2008-11-01,Active,12027.84
A000275,C000275,Current,2026-03-02,Active,1626.27
A000276,C000276,Current,2022-04-22,Active,17953.74
A000277,C000277,Current,2010-10-22,Active,7760.11
A000278,C000278,Current,2020-03-03,Active,8522.49
A000279,C000279,Current,2024-03-12,Active,9553.06
A000280,C000280,Savings,2013-11-05,Active,14375.56
A000281,C000281,Current,2020-02-02,Active,12685.47
A000282,C000282,Savings,2017-05-18,Active,13072.12
A000283,C000283,Current,2013-10-06,Active,410.03
A000284,C000284,Current,2014-04-04,Active,10338.03
A000285,C000285,Savings,2022-11-18,Active,8066.56
A000286,C000286,Current,2021-09-24,Active,11967.12
A000287,C000287,Current,2016-12-19,Active,6243.63
A000288,C000288,Current,2021-05-27,Active,3978.01
A000289,C000289,Savings,2009-03-31,Active,9651.06
A000290,C000290,Current,2009-06-29,Active,3278.36
A000291,C000291,Current,2013-01-09,Active,4831.93
A000292,C000292,Current,2012-09-11,Active,16729.2
A000293,C000293,Savings,2026-04-01,Active,3736.27
A000294,C000294,Current,2008-03-06,Active,14744.52
A000295,C000295,Savings,2012-05-14,Active,8081.76
A000296,C000296,Current,2017-06-17,Active,977.15
A000297,C000297,Savings,2022-06-21,Active,1983.06
A000298,C000298,Savings,2025-09-03,Active,379.43
A000299,C000299,Savings,2018-04-13,Active,8511.23
A000300,C000300,Current,2013-02-08,Active,2022.29
A000301,C000301,Current,2019-02-07,Active,933.41
A000302,C000302,Savings,2016-09-20,Active,2399.46
A000303,C000303,Savings,2020-07-01,Active,12611.53
A000304,C000304,Current,2025-02-05,Active,9301.79
A000305,C000305,Current,2026-01-01,Active,4541.13
A000306,C000306,Current,2012-07-13,Active,5666.0
A000307,C000307,Current,2011-12-16,Active,1027.53
A000308,C000308,Current,2020-11-28,Active,16186.13
A000309,C000309,Current,2020-01-03,Active,7098.08
A000310,C000310,Savings,2010-12-21,Active,10196.4
A000311,C000311,Current,2016-01-24,Active,11625.27
A000312,C000312,Savings,2006-11-12,Active,5089.94
A000313,C000313,Savings,2025-05-06,Active,7534.31
A000314,C000314,Current,2015-09-26,Active,10434.81
A000315,C000315,Current,2012-03-15,Active,4544.65
A000316,C000316,Current,2020-01-03,Active,12911.63
A000317,C000317,Savings,2019-10-05,Active,7831.96
A000318,C000318,Current,2007-10-08,Active,12806.47
A000319,C000319,Current,2024-10-08,Active,17345.68
A000320,C000320,Savings,2007-08-09,Active,8327.49
A000321,C000321,Savings,2015-10-26,Active,7638.67
A000322,C000322,Savings,2026-05-31,Active,15769.73
A000323,C000323,Current,2020-04-02,Active,11918.29
A000324,C000324,Current,2009-01-30,Active,12459.5
A000325,C000325,Savings,2009-12-26,Active,12156.98
A000326,C000326,Current,2016-07-22,Active,4077.91
A000327,C000327,Current,2015-02-28,Active,13302.74
A000328,C000328,Current,2008-10-02,Active,11198.64
A000329,C000329,Savings,2023-03-18,Active,16937.97
A000330,C000330,Current,2011-10-17,Active,9848.19
A000331,C000331,Current,2011-12-16,Active,5913.78
A000332,C000332,Savings,2024-10-08,Active,2722.44
A000333,C000333,Savings,2017-04-18,Active,12787.66
A000334,C000334,Savings,2007-01-11,Active,4801.29
A000335,C000335,Current,2026-03-02,Active,8708.52
A000336,C000336,Current,2013-02-08,Active,269.58
A000337,C000337,Current,2013-03-10,Active,17296.35
A000338,C000338,Savings,2009-05-30,Active,10596.43
A000339,C000339,Current,2017-06-17,Active,17321.92
A000340,C000340,Savings,2007-01-11,Active,12880.98
A000341,C000341,Savings,2016-12-19,Active,13271.47
A000342,C000342,Savings,2023-10-14,Active,15554.31
A000343,C000343,Current,2016-03-24,Active,10116.68
A000344,C000344,Current,2011-01-20,Active,7728.56
A000345,C000345,Current,2016-08-21,Active,4335.42
A000346,C000346,Current,2011-10-17,Active,14327.05
A000347,C000347,Current,2007-12-07,Active,17885.78
A000348,C000348,Current,2020-07-31,Active,14888.72
A000349,C000349,Current,2025-10-03,Active,5066.73
A000350,C000350,Current,2008-02-05,Active,13459.77
A000351,C000351,Current,2018-03-14,Active,3779.43
A000352,C000352,Savings,2022-09-19,Active,11538.09
A000353,C000353,Savings,2021-09-24,Active,6358.06
A000354,C000354,Current,2015-12-25,Active,10901.48
A000355,C000355,Current,2011-05-20,Active,1940.23
A000356,C000356,Current,2025-05-06,Active,17882.17
A000357,C000357,Current,2007-01-11,Active,11083.3
A000358,C000358,Current,2010-04-25,Active,15387.89
A000359,C000359,Current,2012-10-11,Active,1804.31
A000360,C000360,Current,2019-04-08,Active,13731.22
A000361,C000361,Savings,2018-07-12,Active,6375.92
A000362,C000362,Savings,2008-01-06,Active,15142.76
A000363,C000363,Current,2018-09-10,Active,3938.45
A000364,C000364,Current,2011-09-17,Active,8409.15
A000365,C000365,Savings,2022-06-21,Active,10430.87
A000366,C000366,Savings,2017-01-18,Active,1551.25
A000367,C000367,Savings,2021-06-26,Active,13424.12
A000368,C000368,Savings,2022-04-22,Active,9919.38
A000369,C000369,Current,2018-01-13,Active,7287.89
A000370,C000370,Current,2022-09-19,Active,14110.06
A000371,C000371,Current,2013-03-10,Active,4371.86
A000372,C000372,Savings,2023-03-18,Active,869.18
A000373,C000373,Current,2010-10-22,Active,488.55
A000374,C000374,Savings,2019-10-05,Active,12917.89
A000375,C000375,Current,2018-11-09,Active,3997.85
A000376,C000376,Current,2007-05-11,Active,17450.51
A000377,C000377,Savings,2010-01-25,Active,6365.42
A000378,C000378,Savings,2012-06-13,Active,7714.54
A000379,C000379,Current,2017-01-18,Active,6132.5
A000380,C000380,Savings,2019-11-04,Active,1959.97
A000381,C000381,Savings,2008-07-04,Active,17628.9
A000382,C000382,Savings,2025-08-04,Active,11295.02
A000383,C000383,Savings,2017-03-19,Active,14737.7
A000384,C000384,Current,2026-01-31,Active,3998.1
A000385,C000385,Current,2016-07-22,Active,17309.35
A000386,C000386,Savings,2024-08-09,Active,4031.06
A000387,C000387,Savings,2008-06-04,Active,1171.98
A000388,C000388,Current,2020-01-03,Active,2271.39
A000389,C000389,Current,2012-07-13,Active,9920.87
A000390,C000390,Current,2012-09-11,Active,17326.02
A000391,C000391,Current,2021-04-27,Active,11584.62
A000392,C000392,Current,2019-07-07,Active,13523.67
A000393,C000393,Savings,2014-10-31,Active,11315.08
A000394,C000394,Current,2008-10-02,Active,16798.69
A000395,C000395,Current,2012-04-14,Active,12326.37
A000396,C000396,Current,2024-12-07,Active,8538.28
A000397,C000397,Savings,2022-01-22,Active,646.2
A000398,C000398,Savings,2015-04-29,Active,5259.78
A000399,C000399,Current,2018-05-13,Active,5298.32
A000400,C000400,Current,2025-01-06,Active,6499.79
A000401,C000401,Current,2024-08-09,Active,10699.08
A000402,C000402,Current,2010-09-22,Active,11518.67
A000403,C000403,Current,2025-08-04,Active,17021.48
A000404,C000404,Savings,2008-06-04,Active,13659.73
A000405,C000405,Current,2009-03-01,Active,17429.11
A000406,C000406,Current,2007-03-12,Active,776.31
A000407,C000407,Current,2014-11-30,Active,17717.03
A000408,C000408,Current,2021-05-27,Active,13933.79
A000409,C000409,Savings,2011-03-21,Active,17175.05
A000410,C000410,Savings,2007-05-11,Active,16004.73
A000411,C000411,Current,2023-07-16,Active,17498.94
A000412,C000412,Current,2008-03-06,Active,17899.72
A000413,C000413,Current,2013-08-07,Active,11257.62
A000414,C000414,Savings,2024-08-09,Active,12730.37
A000415,C000415,Current,2017-05-18,Active,4021.5
A000416,C000416,Savings,2012-04-14,Active,5323.53
A000417,C000417,Current,2019-12-04,Active,2648.66
A000418,C000418,Current,2022-03-23,Active,16026.21
A000419,C000419,Current,2016-07-22,Active,3350.61
A000420,C000420,Savings,2009-03-01,Active,12186.23
A000421,C000421,Current,2014-01-04,Active,13434.5
A000422,C000422,Current,2023-08-15,Active,9555.0
A000423,C000423,Savings,2022-04-22,Active,5183.8
A000424,C000424,Current,2007-01-11,Active,6970.8
A000425,C000425,Current,2019-01-08,Active,5363.7
A000426,C000426,Current,2008-06-04,Active,9727.55
A000427,C000427,Current,2012-11-10,Active,2410.38
A000428,C000428,Current,2023-07-16,Active,7440.86
A000429,C000429,Current,2010-05-25,Active,15568.83
A000430,C000430,Current,2019-10-05,Active,801.26
A000431,C000431,Savings,2024-05-11,Active,9549.84
A000432,C000432,Current,2011-04-20,Active,13981.99
A000433,C000433,Savings,2009-01-30,Active,5391.97
A000434,C000434,Current,2019-09-05,Active,3475.73
A000435,C000435,Savings,2011-12-16,Active,10947.01
A000436,C000436,Current,2011-11-16,Active,10521.97
A000437,C000437,Current,2013-02-08,Active,7492.5
A000438,C000438,Current,2024-08-09,Active,10511.09
A000439,C000439,Current,2008-08-03,Active,13998.27
A000440,C000440,Current,2013-12-05,Active,8171.6
A000441,C000441,Savings,2023-03-18,Active,4975.67
A000442,C000442,Savings,2010-05-25,Active,6443.73
A000443,C000443,Current,2008-01-06,Active,14685.2
A000444,C000444,Current,2010-08-23,Active,7625.56
A000445,C000445,Current,2021-12-23,Active,10981.64
A000446,C000446,Savings,2011-02-19,Active,16156.94
A000447,C000447,Savings,2016-12-19,Active,6891.37
A000448,C000448,Current,2022-11-18,Active,10045.91
A000449,C000449,Current,2025-05-06,Active,12416.7
A000450,C000450,Current,2012-08-12,Active,8256.55
A000451,C000451,Current,2010-03-26,Active,1720.67
A000452,C000452,Current,2023-05-17,Active,9378.29
A000453,C000453,Current,2022-07-21,Active,1939.17
A000454,C000454,Current,2023-09-14,Active,8142.19
A000455,C000455,Savings,2010-07-24,Active,2733.75
A000456,C000456,Savings,2017-09-15,Active,281.23
A000457,C000457,Savings,2019-12-04,Active,10664.7
A000458,C000458,Savings,2007-06-10,Active,6861.86
A000459,C000459,Current,2012-10-11,Active,2196.41
A000460,C000460,Current,2022-06-21,Active,9610.81
A000461,C000461,Current,2023-08-15,Active,12212.65
A000462,C000462,Savings,2025-04-06,Active,11518.34
A000463,C000463,Current,2011-09-17,Active,17425.49
A000464,C000464,Savings,2019-09-05,Active,15972.54
A000465,C000465,Current,2008-07-04,Active,17130.96
A000466,C000466,Current,2016-08-21,Active,7641.99
A000467,C000467,Savings,2024-10-08,Active,8425.63
A000468,C000468,Savings,2014-11-30,Active,10570.35
A000469,C000469,Savings,2017-05-18,Active,2784.5
A000470,C000470,Current,2023-12-13,Active,10734.26
A000471,C000471,Current,2008-09-02,Active,14212.16
A000472,C000472,Current,2025-02-05,Active,3706.78
A000473,C000473,Current,2014-05-04,Active,17150.7
A000474,C000474,Savings,2012-10-11,Active,2476.02
A000475,C000475,Current,2008-11-01,Active,1200.07
A000476,C000476,Current,2019-11-04,Active,10493.65
A000477,C000477,Current,2020-07-01,Active,17360.44
A000478,C000478,Savings,2023-08-15,Active,4735.96
A000479,C000479,Savings,2010-05-25,Active,516.34
A000480,C000480,Savings,2013-06-08,Active,1975.17
A000481,C000481,Savings,2011-01-20,Active,12263.88
A000482,C000482,Current,2012-12-10,Active,9841.1
A000483,C000483,Current,2007-12-07,Active,3330.25
A000484,C000484,Savings,2024-11-07,Active,17027.5
A000485,C000485,Savings,2021-06-26,Active,13386.58
A000486,C000486,Savings,2017-08-16,Active,5138.44
A000487,C000487,Current,2020-05-02,Active,10233.07
A000488,C000488,Savings,2022-10-19,Active,12505.08
A000489,C000489,Current,2010-06-24,Active,5232.93
A000490,C000490,Savings,2009-06-29,Active,9482.67
A000491,C000491,Savings,2023-08-15,Active,3942.68
A000492,C000492,Current,2010-08-23,Active,13813.31
A000493,C000493,Savings,2006-12-12,Active,12813.4
A000494,C000494,Current,2007-08-09,Active,14765.19
A000495,C000495,Current,2022-12-18,Active,4240.41
A000496,C000496,Savings,2014-09-01,Active,6987.97
A000497,C000497,Savings,2009-04-30,Active,14106.06
A000498,C000498,Current,2013-06-08,Active,15195.65
A000499,C000499,Current,2016-08-21,Active,1881.12
A000500,C000500,Savings,2007-07-10,Active,10222.59
A000501,C000501,Savings,2025-09-03,Active,10349.52
A000502,C000502,Savings,2008-03-06,Active,4634.76
A000503,C000503,Current,2022-04-22,Active,5870.19
A000504,C000504,Savings,2010-05-25,Active,4823.75
A000505,C000505,Current,2010-05-25,Active,12838.02
A000506,C000506,Current,2013-06-08,Active,2681.18
A000507,C000507,Savings,2015-07-28,Active,1576.4
A000508,C000508,Current,2024-09-08,Active,16082.42
A000509,C000509,Current,2012-02-14,Active,7861.29
A000510,C000510,Current,2015-03-30,Active,13483.88
A000511,C000511,Current,2016-02-23,Active,12878.0
A000512,C000512,Current,2015-08-27,Active,7987.77
A000513,C000513,Savings,2007-12-07,Active,16760.58
A000514,C000514,Savings,2024-01-12,Active,9035.86
A000515,C000515,Current,2021-03-28,Active,8034.83
A000516,C000516,Savings,2023-12-13,Active,8392.18
A000517,C000517,Current,2022-06-21,Active,3170.06
A000518,C000518,Current,2015-07-28,Active,9964.96
A000519,C000519,Current,2018-02-12,Active,4823.86
A000520,C000520,Savings,2015-11-25,Active,9485.91
A000521,C000521,Current,2022-07-21,Active,3534.32
A000522,C000522,Current,2019-12-04,Active,10411.02
A000523,C000523,Current,2009-03-01,Active,6675.39
A000524,C000524,Current,2015-07-28,Active,11639.89
A000525,C000525,Current,2025-03-07,Active,14090.15
A000526,C000526,Savings,2017-08-16,Active,600.79
A000527,C000527,Current,2016-04-23,Active,759.59
A000528,C000528,Current,2016-05-23,Active,8450.63
A000529,C000529,Current,2019-04-08,Active,5079.44
A000530,C000530,Savings,2021-08-25,Active,10085.29
