loan_id,customer_id,product_type,original_principal,outstanding_balance,interest_rate,monthly_payment,days_past_due,missed_payments_12m,credit_limit,utilisation_ratio
L000053,C000053,Personal Loan,30546.16,21926.83,0.1172,644.91,0,0,65847.1,0.333
L000054,C000054,Credit Card,37416.98,19631.84,0.1123,316.64,0,0,61887.56,0.3172
L000055,C000055,Auto Finance,6363.96,1471.97,0.1023,34.23,0,0,9009.43,0.1634
L000056,C000056,Credit Card,25084.86,11335.21,0.1323,263.61,0,0,43673.39,0.2595
L000057,C000057,Auto Finance,19916.46,4406.39,0.0862,67.79,0,0,7787.78,0.5658
L000058,C000058,Personal Loan,28389.58,24617.03,0.0831,431.88,15,1,29734.56,0.8279
L000059,C000059,Auto Finance,9747.03,7339.77,0.1317,203.88,0,0,10249.83,0.7161
L000060,C000060,Credit Card,5477.8,2714.87,0.0907,87.58,0,0,7208.99,0.3766
L000061,C000061,Personal Loan,15103.64,5727.55,0.0778,127.28,0,0,21424.71,0.2673
L000062,C000062,Auto Finance,25741.2,20023.82,0.0634,308.06,0,0,48000.33,0.4172
L000063,C000063,Auto Finance,31767.05,10602.69,0.0927,589.04,0,0,23180.27,0.4574
L000064,C000064,Personal Loan,34555.69,11293.81,0.1556,282.35,0,0,53590.41,0.2107
L000065,C000065,Personal Loan,44934.17,20992.95,0.1225,419.86,60,2,108388.42,0.1937
L000066,C000066,Personal Loan,43305.6,8475.53,0.1132,136.7,0,3,18898.23,0.4485
L000067,C000067,Personal Loan,24250.47,12593.78,0.1744,292.88,0,0,110050.84,0.1144
L000068,C000068,Credit Card,33171.74,8270.12,0.1243,129.22,90,2,56729.28,0.1458
L000069,C000069,Personal Loan,44975.79,41432.43,0.0673,863.18,0,0,77126.76,0.5372
L000070,C000070,Credit Card,29914.78,26565.17,0.1453,390.66,0,0,33226.92,0.7995
L000071,C000071,Credit Card,34795.68,12141.21,0.1226,505.88,0,0,18903.6,0.6423
L000072,C000072,Auto Finance,19697.59,8536.63,0.1067,164.17,60,1,10842.97,0.7873
L000073,C000073,Personal Loan,10677.79,1800.18,0.0795,26.09,0,0,2794.08,0.6443
L000074,C000074,Auto Finance,21164.74,10779.74,0.0832,359.32,0,0,55218.39,0.1952
L000075,C000075,Credit Card,30826.47,27946.54,0.0474,517.53,60,1,53107.64,0.5262
L000076,C000076,Credit Card,25296.65,14321.87,0.0493,376.89,90,3,14466.54,0.99
L000077,C000077,Personal Loan,33832.01,15523.69,0.1409,419.56,30,1,133134.31,0.1166
L000078,C000078,Auto Finance,33165.81,9710.75,0.1773,262.45,0,0,24141.09,0.4022
L000079,C000079,Personal Loan,4322.0,1508.3,0.0499,47.13,0,0,2224.32,0.6781
L000080,C000080,Credit Card,35446.43,25982.25,0.0664,499.66,0,1,74232.04,0.35
L000081,C000081,Personal Loan,41608.94,28942.93,0.1386,904.47,0,0,77323.19,0.3743
L000082,C000082,Credit Card,30444.21,10017.32,0.0671,182.13,0,0,26842.02,0.3732
L000083,C000083,Personal Loan,42748.86,17842.76,0.1451,258.59,0,0,33251.53,0.5366
L000084,C000084,Credit Card,12134.35,7351.92,0.0578,198.7,45,1,15081.01,0.4875
L000085,C000085,Credit Card,7470.87,2148.73,0.128,37.05,0,0,3637.11,0.5908
L000086,C000086,Credit Card,13497.2,11404.72,0.056,518.4,60,1,32566.62,0.3502
L000087,C000087,Auto Finance,39241.32,17071.65,0.1393,299.5,0,0,54481.66,0.3133
L000088,C000088,Auto Finance,17979.76,16165.84,0.0812,288.68,0,0,34128.57,0.4737
L000089,C000089,Personal Loan,38795.86,9305.66,0.0931,465.28,0,0,19183.04,0.4851
L000090,C000090,Credit Card,16566.09,13019.02,0.1269,250.37,120,2,125818.76,0.1035
L000091,C000091,Auto Finance,26236.7,7730.35,0.1533,429.46,0,0,12731.32,0.6072
L000092,C000092,Personal Loan,44308.08,23418.63,0.1546,371.72,0,0,52794.76,0.4436
L000093,C000093,Credit Card,32879.37,6170.06,0.0505,268.26,15,1,24682.38,0.25
L000094,C000094,Credit Card,8786.2,4224.25,0.1004,84.48,0,0,11552.05,0.3657
L000095,C000095,Personal Loan,6371.53,2344.58,0.1502,80.85,0,0,7458.18,0.3144
L000096,C000096,Credit Card,34767.53,11894.91,0.1472,457.5,0,0,14498.41,0.8204
L000097,C000097,Personal Loan,41966.82,18285.51,0.081,351.64,0,1,98629.85,0.1854
L000098,C000098,Personal Loan,6757.35,2375.39,0.0607,55.24,15,1,16526.77,0.1437
L000099,C000099,Credit Card,7908.93,3339.77,0.0708,61.85,0,0,39282.22,0.085
L000100,C000100,Credit Card,4675.57,1552.98,0.1436,27.73,90,2,2080.2,0.7466
L000101,C000101,Credit Card,32642.63,16359.23,0.1643,779.01,0,0,42182.87,0.3878
L000102,C000102,Auto Finance,42958.91,38181.29,0.055,545.45,0,0,64003.05,0.5966
L000103,C000103,Credit Card,12960.42,11788.99,0.156,214.35,0,0,78428.83,0.1503
L000104,C000104,Personal Loan,11252.01,10433.99,0.0549,151.22,0,0,67247.56,0.1552
L000105,C000105,Auto Finance,25453.94,19023.99,0.0629,452.95,0,0,41418.64,0.4593
L000106,C000106,Personal Loan,30182.57,12406.31,0.0708,234.08,120,2,22355.79,0.5549
L000107,C000107,Credit Card,34294.49,25248.07,0.1338,1328.85,30,2,68558.21,0.3683
L000108,C000108,Auto Finance,25658.34,7158.99,0.1651,103.75,90,2,16059.66,0.4458
L000109,C000109,Auto Finance,28529.09,5327.76,0.0758,111.0,0,0,14143.35,0.3767
L000110,C000110,Auto Finance,41406.31,23274.59,0.1163,705.29,0,0,91731.36,0.2537
L000111,C000111,Credit Card,25087.93,20871.19,0.0573,342.15,30,1,137336.95,0.152
L000112,C000112,Personal Loan,36877.85,10586.96,0.116,230.15,0,0,16150.97,0.6555
L000113,C000113,Auto Finance,23340.65,16180.47,0.115,278.97,0,0,33490.49,0.4831
L000114,C000114,Personal Loan,14911.05,12197.41,0.13,435.62,0,0,22820.05,0.5345
L000115,C000115,Credit Card,38608.53,13444.31,0.0478,253.67,45,1,20543.5,0.6544
L000116,C000116,Auto Finance,6131.4,2182.93,0.1302,33.07,0,0,14701.98,0.1485
L000117,C000117,Credit Card,12530.57,3298.52,0.0788,55.91,0,0,13877.04,0.2377
L000118,C000118,Credit Card,16161.8,6486.51,0.162,166.32,0,0,11443.75,0.5668
L000119,C000119,Personal Loan,38469.8,17474.15,0.1286,759.75,0,0,30990.3,0.5639
L000120,C000120,Auto Finance,3105.47,2393.14,0.0867,46.02,0,0,15308.06,0.1563
L000121,C000121,Auto Finance,11590.32,3547.94,0.0661,75.49,0,0,5125.48,0.6922
L000122,C000122,Personal Loan,37141.15,9943.98,0.0928,157.84,0,2,30452.68,0.3265
L000123,C000123,Auto Finance,5369.86,1480.98,0.139,82.28,15,1,3170.51,0.4671
L000124,C000124,Auto Finance,7581.35,3069.84,0.1445,90.29,0,0,19140.91,0.1604
L000125,C000125,Auto Finance,44997.43,35775.3,0.0845,496.88,0,0,81934.15,0.4366
L000126,C000126,Personal Loan,39513.92,18632.65,0.1122,315.81,45,1,105049.39,0.1774
L000127,C000127,Auto Finance,22585.41,13190.7,0.0859,599.58,0,0,37604.87,0.3508
L000128,C000128,Credit Card,41193.65,30947.91,0.1143,573.11,0,0,82581.23,0.3748
L000129,C000129,Personal Loan,16701.35,10848.38,0.1106,319.07,0,0,31842.35,0.3407
L000130,C000130,Personal Loan,9265.13,2048.23,0.0695,89.05,90,3,3281.95,0.6241
L000131,C000131,Auto Finance,4305.56,4024.54,0.1773,69.39,180,3,19356.64,0.2079
L000132,C000132,Credit Card,41212.94,38493.36,0.0544,769.87,0,0,140007.26,0.2749
L000133,C000133,Credit Card,9449.17,2807.17,0.1528,51.98,0,0,4026.84,0.6971
L000134,C000134,Personal Loan,28085.15,5908.08,0.0689,281.34,0,0,33372.75,0.177
L000135,C000135,Auto Finance,21243.48,12491.08,0.1489,178.44,0,0,22609.45,0.5525
L000136,C000136,Personal Loan,20210.2,13831.77,0.0737,200.46,45,1,25580.08,0.5407
L000137,C000137,Credit Card,19881.62,6452.83,0.1358,131.69,45,1,23839.49,0.2707
L000138,C000138,Personal Loan,29019.44,22581.79,0.0558,537.66,0,0,94887.66,0.238
L000139,C000139,Auto Finance,33970.46,18945.74,0.0734,430.59,0,0,27835.35,0.6806
L000140,C000140,Auto Finance,6328.36,3018.61,0.1028,62.89,0,0,8037.88,0.3755
L000141,C000141,Personal Loan,24478.07,13934.72,0.0803,214.38,0,0,18735.28,0.7438
L000142,C000142,Auto Finance,38056.25,32518.1,0.0818,1204.37,0,0,113937.95,0.2854
L000143,C000143,Credit Card,14977.74,13756.76,0.0921,319.92,30,2,50528.47,0.2723
L000144,C000144,Auto Finance,3148.97,1444.59,0.1767,25.34,0,0,11641.87,0.1241
L000145,C000145,Credit Card,13626.34,6308.78,0.1511,112.66,0,0,23652.95,0.2667
L000146,C000146,Credit Card,28551.36,11091.27,0.1308,277.28,0,0,31195.63,0.3555
L000147,C000147,Personal Loan,5894.03,3095.86,0.1068,50.75,0,0,12750.61,0.2428
L000148,C000148,Personal Loan,36149.28,26849.49,0.1191,506.59,0,0,53228.08,0.5044
L000149,C000149,Credit Card,38159.2,18477.21,0.0921,499.38,60,1,51748.51,0.3571
L000150,C000150,Personal Loan,27492.99,21075.24,0.1781,478.98,0,0,30653.2,0.6875
L000151,C000151,Auto Finance,24717.37,20599.75,0.0893,762.95,0,0,92333.3,0.2231
L000152,C000152,Auto Finance,12784.75,8798.51,0.1,129.39,0,0,15885.82,0.5539
L000153,C000153,Personal Loan,25174.73,11214.47,0.1036,162.53,0,0,18109.05,0.6193
L000154,C000154,Personal Loan,30495.52,6105.4,0.0841,145.37,15,1,23648.21,0.2582
L000155,C000155,Personal Loan,12776.51,5579.87,0.1026,155.0,0,0,7002.68,0.7968
L000156,C000156,Credit Card,15164.96,12732.51,0.1499,187.24,0,0,24428.13,0.5212
L000157,C000157,Credit Card,40308.41,9690.43,0.1474,134.59,0,0,12949.42,0.7483
L000158,C000158,Auto Finance,39663.59,21078.54,0.1782,413.3,0,0,94505.94,0.223
L000159,C000159,Personal Loan,41823.62,7954.98,0.1473,132.58,45,1,51448.67,0.1546
L000160,C000160,Personal Loan,36681.47,32395.9,0.1586,568.35,0,0,145178.38,0.2231
L000161,C000161,Personal Loan,41008.48,16976.71,0.056,471.58,0,0,64644.62,0.2626
L000162,C000162,Personal Loan,38741.46,9726.19,0.055,135.09,0,0,21023.67,0.4626
L000163,C000163,Credit Card,25350.22,6007.34,0.1151,107.27,60,2,28887.69,0.208
L000164,C000164,Credit Card,32040.32,22427.68,0.1567,448.55,0,0,55570.27,0.4036
L000165,C000165,Credit Card,11071.19,8308.17,0.0868,138.47,15,1,36977.68,0.2247
L000166,C000166,Personal Loan,17141.5,11759.62,0.0594,221.88,0,0,18992.23,0.6192
L000167,C000167,Credit Card,21402.63,11460.86,0.1442,293.87,0,0,19073.4,0.6009
L000168,C000168,Personal Loan,12096.51,11023.86,0.1744,440.95,45,1,20706.25,0.5324
L000169,C000169,Auto Finance,17789.78,16876.74,0.1068,937.6,0,0,31931.94,0.5285
L000170,C000170,Personal Loan,31516.25,5867.69,0.086,225.68,45,1,10076.31,0.5823
L000171,C000171,Personal Loan,19136.27,17934.12,0.0845,332.11,0,1,34402.01,0.5213
L000172,C000172,Auto Finance,22444.88,11069.6,0.1371,245.99,15,1,90483.05,0.1223
L000173,C000173,Credit Card,8681.13,3866.37,0.103,78.91,0,0,9641.12,0.401
L000174,C000174,Auto Finance,19860.73,10470.34,0.0987,387.79,30,2,41730.54,0.2509
L000175,C000175,Credit Card,9011.04,2294.99,0.1157,37.62,15,1,4282.87,0.5359
L000176,C000176,Auto Finance,5700.01,5358.79,0.1389,206.11,0,0,8647.67,0.6197
L000177,C000177,Personal Loan,28499.6,9033.22,0.0765,125.46,0,3,14695.45,0.6147
L000178,C000178,Credit Card,7638.51,1683.56,0.1029,23.38,60,2,2997.31,0.5617
L000179,C000179,Credit Card,18811.52,13343.07,0.0709,226.15,0,0,26657.21,0.5005
L000180,C000180,Auto Finance,25380.42,7756.63,0.105,165.03,45,1,21445.97,0.3617
L000181,C000181,Credit Card,23762.14,19203.85,0.1654,738.61,0,0,124478.8,0.1543
L000182,C000182,Credit Card,33426.36,11454.54,0.1075,170.96,0,0,21950.2,0.5218
L000183,C000183,Personal Loan,36192.93,16179.78,0.138,449.44,0,0,22865.01,0.7076
L000184,C000184,Personal Loan,18189.25,11273.68,0.077,204.98,45,1,17281.49,0.6524
L000185,C000185,Credit Card,12732.33,12049.57,0.1201,256.37,30,1,25252.65,0.4772
L000186,C000186,Credit Card,9209.84,1398.31,0.1376,30.4,45,1,2509.27,0.5573
L000187,C000187,Personal Loan,40198.26,23720.25,0.0877,718.8,0,0,42929.09,0.5525
L000188,C000188,Personal Loan,30154.3,5281.76,0.1266,132.04,30,1,18679.64,0.2828
L000189,C000189,Credit Card,20306.09,9282.76,0.0923,160.05,0,0,36240.75,0.2561
L000190,C000190,Auto Finance,13095.96,5701.4,0.1776,87.71,0,0,49297.22,0.1157
L000191,C000191,Personal Loan,25223.74,13122.94,0.1132,656.15,0,0,87906.97,0.1493
L000192,C000192,Personal Loan,8930.22,5136.26,0.0865,104.82,0,0,8662.99,0.5929
L000193,C000193,Auto Finance,19781.97,18150.44,0.1514,302.51,15,1,53972.65,0.3363
L000194,C000194,Auto Finance,25125.03,6064.97,0.0928,288.81,120,2,12123.84,0.5003
L000195,C000195,Personal Loan,5543.58,3932.96,0.0588,58.7,0,0,7578.2,0.519
L000196,C000196,Credit Card,22334.97,6818.1,0.1621,219.94,0,0,14632.98,0.4659
L000197,C000197,Credit Card,12119.79,5274.32,0.0629,159.83,0,1,19082.37,0.2764
L000198,C000198,Auto Finance,30867.99,18304.9,0.082,469.36,0,0,23961.75,0.7639
L000199,C000199,Personal Loan,33052.8,18146.92,0.0556,386.1,0,0,49871.23,0.3639
L000200,C000200,Auto Finance,4307.91,2285.49,0.132,78.81,0,0,4557.08,0.5015
L000201,C000201,Auto Finance,11273.55,9218.22,0.1254,164.61,0,0,23746.7,0.3882
L000202,C000202,Auto Finance,13531.85,9661.79,0.1109,205.57,0,0,21135.09,0.4571
L000203,C000203,Auto Finance,40241.31,6080.64,0.1225,164.34,30,1,8821.94,0.6893
L000204,C000204,Personal Loan,4402.59,3433.7,0.0738,57.23,0,1,13260.69,0.2589
L000205,C000205,Credit Card,25052.43,5302.46,0.0471,93.03,0,0,13053.24,0.4062
L000206,C000206,Personal Loan,10113.5,2497.75,0.0915,41.63,0,0,19269.07,0.1296
L000207,C000207,Auto Finance,12580.67,6501.28,0.106,110.19,0,0,129349.23,0.0503
L000208,C000208,Auto Finance,37091.41,6143.8,0.1362,307.19,0,0,46938.28,0.1309
L000209,C000209,Credit Card,22033.09,13560.51,0.078,376.68,0,0,21677.59,0.6256
L000210,C000210,Auto Finance,39146.0,30394.96,0.0771,1125.74,30,1,85405.49,0.3559
L000211,C000211,Auto Finance,30171.75,22268.76,0.0566,445.38,45,1,61983.7,0.3593
L000212,C000212,Credit Card,38209.4,20184.36,0.1337,296.83,0,0,69360.67,0.291
L000213,C000213,Personal Loan,17983.75,10571.81,0.0545,587.32,0,0,26808.35,0.3943
L000214,C000214,Credit Card,37768.03,26627.59,0.1055,532.55,0,0,57347.56,0.4643
L000215,C000215,Personal Loan,25664.29,16122.98,0.0991,732.86,0,0,22994.53,0.7012
L000216,C000216,Credit Card,35060.91,6710.93,0.0662,258.11,0,0,14000.61,0.4793
L000217,C000217,Personal Loan,15442.27,13708.19,0.1545,298.0,0,0,60614.89,0.2262
L000218,C000218,Auto Finance,3938.3,3391.17,0.0668,169.56,0,0,7730.19,0.4387
L000219,C000219,Personal Loan,18320.34,3469.47,0.1409,57.82,0,0,12207.09,0.2842
L000220,C000220,Personal Loan,6933.46,1539.84,0.091,64.16,0,0,2145.54,0.7177
L000221,C000221,Personal Loan,36914.59,23326.76,0.0575,409.24,0,0,60107.54,0.3881
L000222,C000222,Credit Card,43414.19,37297.53,0.1518,1130.23,0,0,237208.83,0.1572
L000223,C000223,Credit Card,4858.87,4147.67,0.1285,133.8,0,0,7321.59,0.5665
L000224,C000224,Auto Finance,26821.75,8267.89,0.174,156.0,0,0,29301.01,0.2822
L000225,C000225,Credit Card,27262.98,23868.26,0.1072,530.41,0,1,173278.79,0.1377
L000226,C000226,Credit Card,28300.96,6031.53,0.1468,137.08,0,0,34757.49,0.1735
L000227,C000227,Credit Card,4933.09,1367.61,0.1499,19.54,60,1,2000,0.8633
L000228,C000228,Auto Finance,4955.94,4548.43,0.1334,72.2,0,0,4594.37,0.99
L000229,C000229,Credit Card,19136.67,8812.89,0.0768,284.29,30,1,16120.38,0.5467
L000230,C000230,Personal Loan,29783.06,16725.15,0.1592,418.13,0,0,28806.71,0.5806
L000231,C000231,Personal Loan,41244.78,21750.95,0.1383,350.82,0,0,85750.93,0.2537
L000232,C000232,Auto Finance,26590.39,4993.9,0.1473,81.87,15,1,27736.08,0.1801
L000233,C000233,Credit Card,43429.83,34076.86,0.0875,921.0,15,1,98907.69,0.3445
L000234,C000234,Personal Loan,34271.54,7820.68,0.1726,137.2,0,0,44704.69,0.1749
L000235,C000235,Personal Loan,40755.16,36435.01,0.0513,569.3,0,0,59586.23,0.6115
L000236,C000236,Auto Finance,34525.15,14273.57,0.0845,548.98,180,3,183656.45,0.0777
L000237,C000237,Personal Loan,11046.34,3406.21,0.0983,66.79,0,0,7610.9,0.4475
L000238,C000238,Personal Loan,27283.91,11759.09,0.0597,279.98,0,0,38656.44,0.3042
L000239,C000239,Credit Card,20282.39,9463.64,0.1302,450.65,45,1,35335.04,0.2678
L000240,C000240,Personal Loan,11048.43,10477.56,0.1023,243.66,0,0,15559.92,0.6734
L000241,C000241,Personal Loan,10487.31,7758.78,0.1094,141.07,0,0,40361.93,0.1922
L000242,C000242,Credit Card,36434.56,22863.49,0.0615,415.7,0,0,145206.27,0.1575
L000243,C000243,Auto Finance,13967.57,9767.31,0.0898,165.55,0,1,18652.54,0.5236
L000244,C000244,Personal Loan,8979.87,2550.36,0.1315,85.01,45,1,6821.63,0.3739
L000245,C000245,Personal Loan,28442.36,9279.71,0.1547,272.93,0,0,185594.2,0.03
L000246,C000246,Auto Finance,21616.44,14296.08,0.0562,210.24,0,0,108547.59,0.1317
L000247,C000247,Credit Card,23591.33,20466.61,0.0691,660.21,0,0,32054.65,0.6385
L000248,C000248,Personal Loan,34055.24,32169.18,0.0491,1072.31,0,0,350006.89,0.0919
L000249,C000249,Auto Finance,4105.8,3582.25,0.131,51.92,30,1,9193.09,0.3897
L000250,C000250,Auto Finance,39937.62,23384.1,0.0672,467.68,0,0,56671.81,0.4126
L000251,C000251,Personal Loan,8377.06,5643.13,0.1599,176.35,0,0,30078.81,0.1876
L000252,C000252,Auto Finance,24959.77,21771.82,0.1415,351.16,60,2,21991.74,0.99
L000253,C000253,Auto Finance,18115.46,13588.66,0.1473,199.83,0,0,24617.19,0.552
L000254,C000254,Auto Finance,40546.69,31393.8,0.1204,1255.75,0,0,575582.16,0.0545
L000255,C000255,Credit Card,17953.89,2974.13,0.1299,43.1,0,0,5743.66,0.5178
L000256,C000256,Credit Card,35645.35,32830.22,0.1628,505.08,0,0,58021.76,0.5658
L000257,C000257,Personal Loan,21731.2,11048.25,0.1622,424.93,0,0,21907.65,0.5043
L000258,C000258,Personal Loan,12319.3,7110.47,0.1213,101.58,0,0,23041.81,0.3086
L000259,C000259,Personal Loan,11587.59,5289.09,0.1766,264.45,0,0,15354.43,0.3445
L000260,C000260,Auto Finance,4938.1,4047.72,0.1061,62.27,30,1,7340.38,0.5514
L000261,C000261,Credit Card,15401.43,7924.02,0.1323,136.62,0,0,35393.74,0.2239
L000262,C000262,Credit Card,32510.89,14990.21,0.1074,262.99,0,0,32576.07,0.4602
L000263,C000263,Auto Finance,4859.62,951.5,0.1113,14.42,15,1,3839.78,0.2478
L000264,C000264,Personal Loan,20422.08,10514.2,0.1322,194.71,0,0,27940.95,0.3763
L000265,C000265,Personal Loan,31678.19,7141.73,0.092,216.42,0,0,8542.62,0.836
L000266,C000266,Credit Card,32320.0,20017.41,0.1255,298.77,45,3,29908.83,0.6693
L000267,C000267,Auto Finance,15384.63,3995.98,0.0714,90.82,0,0,4158.91,0.9608
L000268,C000268,Auto Finance,4574.55,2990.11,0.0746,61.02,0,0,7814.83,0.3826
L000269,C000269,Auto Finance,13085.8,12327.57,0.1154,280.17,0,0,45788.33,0.2692
L000270,C000270,Auto Finance,11660.0,3554.79,0.089,187.09,135,3,5581.89,0.6368
L000271,C000271,Credit Card,25420.36,7281.65,0.0795,125.55,0,0,46525.06,0.1565
L000272,C000272,Auto Finance,10683.19,7936.72,0.1429,214.51,0,0,29483.76,0.2692
L000273,C000273,Credit Card,19290.74,6898.6,0.1679,215.58,30,1,29364.67,0.2349
L000274,C000274,Auto Finance,18902.85,8987.24,0.0748,140.43,0,2,31753.82,0.283
L000275,C000275,Personal Loan,39987.88,25935.42,0.136,682.51,0,0,184234.28,0.1408
L000276,C000276,Personal Loan,24799.4,17071.94,0.1341,284.53,45,1,34677.44,0.4923
L000277,C000277,Auto Finance,33128.43,22036.23,0.0886,1159.8,0,0,26700.42,0.8253
L000278,C000278,Credit Card,15356.28,10755.43,0.0844,346.95,0,0,34958.69,0.3077
L000279,C000279,Auto Finance,27180.95,20219.12,0.1044,361.06,30,1,25447.12,0.7946
L000280,C000280,Personal Loan,31122.55,15452.18,0.1582,498.46,90,2,26036.21,0.5935
L000281,C000281,Personal Loan,17281.57,12326.28,0.1219,397.62,30,1,29166.16,0.4226
L000282,C000282,Credit Card,23986.51,16897.21,0.0601,563.24,0,0,43526.08,0.3882
L000283,C000283,Auto Finance,42860.2,12844.69,0.0926,291.92,0,0,30631.76,0.4193
L000284,C000284,Credit Card,23036.55,16571.35,0.1681,306.88,0,0,21755.82,0.7617
L000285,C000285,Auto Finance,36705.82,23132.13,0.1678,963.84,0,0,39166.7,0.5906
L000286,C000286,Auto Finance,24414.9,16083.11,0.112,229.76,0,0,65587.23,0.2452
L000287,C000287,Credit Card,19502.54,17504.17,0.0745,350.08,0,0,120186.59,0.1456
L000288,C000288,Credit Card,42320.47,24724.02,0.0881,374.61,0,0,45644.08,0.5417
L000289,C000289,Personal Loan,40520.2,37020.25,0.0933,1234.01,0,0,111549.78,0.3319
L000290,C000290,Credit Card,19418.97,6328.49,0.0706,129.15,30,2,7432.03,0.8515
L000291,C000291,Auto Finance,9527.75,3089.75,0.148,51.5,0,0,17678.58,0.1748
