snapshot_date,account_id,closing_balance
2026-01-28,A000007,1817.6
2026-02-28,A000007,1683.26
2026-03-28,A000007,1917.04
2026-04-28,A000007,2114.57
2026-05-28,A000007,2199.19
2026-06-28,A000007,2562.23
2025-07-28,A000008,9552.1
2025-08-28,A000008,10391.1
2025-09-28,A000008,11081.12
2025-10-28,A000008,11030.14
2025-11-28,A000008,10914.92
2025-12-28,A000008,11546.64
2026-01-28,A000008,12865.12
2026-02-28,A000008,12656.39
2026-03-28,A000008,13625.77
2026-04-28,A000008,13279.05
2026-05-28,A000008,13482.04
2026-06-28,A000008,12871.85
2025-07-28,A000009,13626.65
2025-08-28,A000009,14287.47
2025-09-28,A000009,14936.91
2025-10-28,A000009,15873.42
2025-11-28,A000009,15649.68
2025-12-28,A000009,15456.54
2026-01-28,A000009,17165.14
2026-02-28,A000009,17080.56
2026-03-28,A000009,18303.78
2026-04-28,A000009,17960.44
2026-05-28,A000009,18895.01
2026-06-28,A000009,19409.5
2025-07-28,A000010,10666.83
2025-08-28,A000010,11636.35
2025-09-28,A000010,12590.84
2025-10-28,A000010,12238.99
2025-11-28,A000010,12954.31
2025-12-28,A000010,13883.75
2026-01-28,A000010,13696.26
2026-02-28,A000010,12952.19
2026-03-28,A000010,14297.29
2026-04-28,A000010,14272.83
2026-05-28,A000010,15388.1
2026-06-28,A000010,14862.64
2025-07-28,A000011,6015.4
2025-08-28,A000011,5615.75
2025-09-28,A000011,4391.32
2025-10-28,A000011,4625.29
2025-11-28,A000011,4906.79
2025-12-28,A000011,5637.83
2026-01-28,A000011,5614.23
2026-02-28,A000011,4645.99
2026-03-28,A000011,4055.0
2026-04-28,A000011,3336.21
2026-05-28,A000011,3047.76
2026-06-28,A000011,2482.35
2025-07-28,A000012,14166.66
2025-08-28,A000012,14108.98
2025-09-28,A000012,15427.31
2025-10-28,A000012,16495.15
2025-11-28,A000012,17457.28
2025-12-28,A000012,16768.52
2026-01-28,A000012,18133.98
2026-02-28,A000012,17955.51
2026-03-28,A000012,18361.57
2026-04-28,A000012,18074.38
2026-05-28,A000012,18147.01
2026-06-28,A000012,18366.37
2025-07-28,A000013,17733.46
2025-08-28,A000013,18210.85
2025-09-28,A000013,18817.06
2025-10-28,A000013,18949.37
2025-11-28,A000013,19150.43
2025-12-28,A000013,19635.19
2026-01-28,A000013,19453.88
2026-02-28,A000013,20123.37
2026-03-28,A000013,20340.62
2026-04-28,A000013,19986.12
2026-05-28,A000013,20041.29
2026-06-28,A000013,19808.28
2025-07-28,A000014,2299.06
2025-08-28,A000014,2665.42
2025-09-28,A000014,2412.52
2025-10-28,A000014,2292.5
2025-11-28,A000014,2401.6
2025-12-28,A000014,2408.33
2026-01-28,A000014,2815.7
2026-02-28,A000014,3322.52
2026-03-28,A000014,3069.01
2026-04-28,A000014,3106.67
2026-05-28,A000014,3008.38
2026-06-28,A000014,3059.8
2025-07-28,A000015,1711.66
2025-08-28,A000015,1107.04
2025-09-28,A000015,170.37
2025-10-28,A000015,-320.47
2025-11-28,A000015,153.88
2025-12-28,A000015,-677.37
2026-01-28,A000015,-968.42
2026-02-28,A000015,-565.26
2026-03-28,A000015,-489.12
2026-04-28,A000015,-1255.98
2026-05-28,A000015,-2158.92
2026-06-28,A000015,-1851.26
2025-07-28,A000016,9858.47
2025-08-28,A000016,9723.92
2025-09-28,A000016,9451.06
2025-10-28,A000016,9182.31
2025-11-28,A000016,9717.53
2025-12-28,A000016,10170.59
2026-01-28,A000016,9895.51
2026-02-28,A000016,10328.2
2026-03-28,A000016,10535.53
2026-04-28,A000016,11213.83
2026-05-28,A000016,11706.75
2026-06-28,A000016,12287.97
2025-07-28,A000017,629.68
2025-08-28,A000017,-131.91
2025-09-28,A000017,-42.28
2025-10-28,A000017,-144.47
2025-11-28,A000017,-726.71
2025-12-28,A000017,-791.71
2026-01-28,A000017,-1344.12
2026-02-28,A000017,-1106.92
2026-03-28,A000017,-1357.17
2026-04-28,A000017,-1405.82
2026-05-28,A000017,-2110.04
2026-06-28,A000017,-2188.53
2025-07-28,A000018,12497.91
2025-08-28,A000018,13247.87
2025-09-28,A000018,12701.79
2025-10-28,A000018,12419.65
2025-11-28,A000018,11813.83
2025-12-28,A000018,11273.02
2026-01-28,A000018,10782.99
2026-02-28,A000018,10210.22
2026-03-28,A000018,10343.78
2026-04-28,A000018,10815.26
2026-05-28,A000018,10430.13
2026-06-28,A000018,10273.31
2025-07-28,A000019,1433.89
2025-08-28,A000019,1257.02
2025-09-28,A000019,1010.41
2025-10-28,A000019,1152.04
2025-11-28,A000019,1783.64
2025-12-28,A000019,1901.87
2026-01-28,A000019,2300.5
2026-02-28,A000019,2406.7
2026-03-28,A000019,2560.73
2026-04-28,A000019,2769.86
2026-05-28,A000019,2687.01
2026-06-28,A000019,2450.72
2025-07-28,A000020,13511.01
2025-08-28,A000020,14342.27
2025-09-28,A000020,14666.0
2025-10-28,A000020,15451.53
2025-11-28,A000020,17172.77
2025-12-28,A000020,16883.08
2026-01-28,A000020,17692.48
2026-02-28,A000020,18260.94
2026-03-28,A000020,19820.4
2026-04-28,A000020,20413.01
2026-05-28,A000020,21160.93
2026-06-28,A000020,22053.23
2025-07-28,A000021,10944.06
2025-08-28,A000021,10988.41
2025-09-28,A000021,10714.88
2025-10-28,A000021,10619.61
2025-11-28,A000021,10378.27
2025-12-28,A000021,10611.75
2026-01-28,A000021,10827.87
2026-02-28,A000021,11284.07
2026-03-28,A000021,11601.74
2026-04-28,A000021,11637.02
2026-05-28,A000021,11433.56
2026-06-28,A000021,11762.92
2025-07-28,A000022,8229.53
2025-08-28,A000022,7173.11
2025-09-28,A000022,6971.6
2025-10-28,A000022,7621.95
2025-11-28,A000022,6667.09
2025-12-28,A000022,6813.96
2026-01-28,A000022,6334.57
2026-02-28,A000022,7157.56
2026-03-28,A000022,6270.63
2026-04-28,A000022,6642.9
2026-05-28,A000022,6275.1
2026-06-28,A000022,6023.74
2025-07-28,A000023,14064.0
2025-08-28,A000023,14510.9
2025-09-28,A000023,14244.73
2025-10-28,A000023,14464.04
2025-11-28,A000023,15024.52
2025-12-28,A000023,14438.44
2026-01-28,A000023,14931.58
2026-02-28,A000023,15095.14
2026-03-28,A000023,14485.3
2026-04-28,A000023,15756.26
2026-05-28,A000023,15654.9
2026-06-28,A000023,16210.69
2025-07-28,A000024,13943.4
2025-08-28,A000024,14488.35
2025-09-28,A000024,14458.3
2025-10-28,A000024,13778.7
2025-11-28,A000024,14035.16
2025-12-28,A000024,12814.4
2026-01-28,A000024,12312.4
2026-02-28,A000024,12227.15
2026-03-28,A000024,12076.22
2026-04-28,A000024,12776.34
2026-05-28,A000024,12796.3
2026-06-28,A000024,11804.33
2025-07-28,A000025,15650.0
2025-08-28,A000025,14960.01
2025-09-28,A000025,16419.42
2025-10-28,A000025,18198.15
2025-11-28,A000025,19824.94
2025-12-28,A000025,20193.28
2026-01-28,A000025,20238.03
2026-02-28,A000025,21610.33
2026-03-28,A000025,23114.82
2026-04-28,A000025,22822.31
2026-05-28,A000025,23048.53
2026-06-28,A000025,24159.22
2025-07-28,A000026,4314.59
2025-08-28,A000026,4940.65
2025-09-28,A000026,4284.17
2025-10-28,A000026,5098.27
2025-11-28,A000026,4941.14
2025-12-28,A000026,6392.19
2026-01-28,A000026,7480.46
2026-02-28,A000026,8827.32
2026-03-28,A000026,9368.86
2026-04-28,A000026,10404.11
2026-05-28,A000026,10534.44
2026-06-28,A000026,11845.3
2025-07-28,A000027,4335.17
2025-08-28,A000027,4293.7
2025-09-28,A000027,4111.5
2025-10-28,A000027,4297.83
2025-11-28,A000027,4641.53
2025-12-28,A000027,4940.77
2026-01-28,A000027,5122.33
2026-02-28,A000027,5359.6
2026-03-28,A000027,5235.67
2026-04-28,A000027,5457.4
2026-05-28,A000027,5612.37
2026-06-28,A000027,5736.88
2025-07-28,A000028,17269.04
2025-08-28,A000028,17852.91
2025-09-28,A000028,17272.44
2025-10-28,A000028,16882.36
2025-11-28,A000028,16998.55
2025-12-28,A000028,17004.93
2026-01-28,A000028,18047.13
2026-02-28,A000028,17884.69
2026-03-28,A000028,18436.37
2026-04-28,A000028,19023.48
2026-05-28,A000028,19809.23
2026-06-28,A000028,19344.19
2025-07-28,A000029,11053.38
2025-08-28,A000029,11726.21
2025-09-28,A000029,11594.54
2025-10-28,A000029,11903.21
2025-11-28,A000029,11499.62
2025-12-28,A000029,12472.18
2026-01-28,A000029,12671.24
2026-02-28,A000029,12485.36
2026-03-28,A000029,13068.51
2026-04-28,A000029,12588.84
2026-05-28,A000029,12637.49
2026-06-28,A000029,13523.17
2025-07-28,A000030,17749.98
2025-08-28,A000030,19505.28
2025-09-28,A000030,20421.82
2025-10-28,A000030,21659.63
2025-11-28,A000030,22015.47
2025-12-28,A000030,21241.82
2026-01-28,A000030,21444.92
2026-02-28,A000030,21548.86
2026-03-28,A000030,22699.56
2026-04-28,A000030,22921.3
2026-05-28,A000030,23095.67
2026-06-28,A000030,23504.86
2025-07-28,A000031,7573.07
2025-08-28,A000031,7302.39
2025-09-28,A000031,7344.0
2025-10-28,A000031,7622.86
2025-11-28,A000031,8137.93
2025-12-28,A000031,8053.7
2026-01-28,A000031,8605.6
2026-02-28,A000031,8653.27
2026-03-28,A000031,8471.08
2026-04-28,A000031,8871.09
2026-05-28,A000031,8846.66
2026-06-28,A000031,9244.95
2025-07-28,A000032,14983.58
2025-08-28,A000032,14443.26
2025-09-28,A000032,16341.16
2025-10-28,A000032,17231.96
2025-11-28,A000032,17639.6
2025-12-28,A000032,19204.81
2026-01-28,A000032,20733.02
2026-02-28,A000032,22312.69
2026-03-28,A000032,23813.48
2026-04-28,A000032,25236.32
2026-05-28,A000032,25044.23
2026-06-28,A000032,26078.02
2025-07-28,A000033,2454.75
2025-08-28,A000033,2231.73
2025-09-28,A000033,3219.02
2025-10-28,A000033,3314.19
2025-11-28,A000033,3946.22
2025-12-28,A000033,4257.5
2026-01-28,A000033,4465.92
2026-02-28,A000033,5109.42
2026-03-28,A000033,5325.14
2026-04-28,A000033,5568.18
2026-05-28,A000033,5051.1
2026-06-28,A000033,6043.14
2025-07-28,A000034,10821.62
2025-08-28,A000034,10296.99
2025-09-28,A000034,10546.46
2025-10-28,A000034,10904.67
2025-11-28,A000034,10958.59
2025-12-28,A000034,11808.46
2026-01-28,A000034,12367.68
2026-02-28,A000034,12096.75
2026-03-28,A000034,12233.1
2026-04-28,A000034,13193.2
2026-05-28,A000034,13844.33
2026-06-28,A000034,14601.41
2025-07-28,A000035,17716.56
2025-08-28,A000035,18283.3
2025-09-28,A000035,18538.65
2025-10-28,A000035,19932.79
2025-11-28,A000035,20623.01
2025-12-28,A000035,20886.01
2026-01-28,A000035,20334.15
2026-02-28,A000035,21337.02
2026-03-28,A000035,22076.13
2026-04-28,A000035,22090.13
2026-05-28,A000035,21835.35
2026-06-28,A000035,22315.81
2025-07-28,A000036,2127.54
2025-08-28,A000036,2313.21
2025-09-28,A000036,2930.53
2025-10-28,A000036,3049.66
2025-11-28,A000036,3433.18
2025-12-28,A000036,3908.56
2026-01-28,A000036,4079.79
2026-02-28,A000036,4624.05
2026-03-28,A000036,4913.29
2026-04-28,A000036,4780.1
2026-05-28,A000036,4768.8
2026-06-28,A000036,4706.42
2025-07-28,A000037,3311.88
2025-08-28,A000037,4072.64
2025-09-28,A000037,3821.09
2025-10-28,A000037,3227.02
2025-11-28,A000037,4482.2
2025-12-28,A000037,5139.82
2026-01-28,A000037,4845.78
2026-02-28,A000037,4734.47
2026-03-28,A000037,4127.56
2026-04-28,A000037,4776.14
2026-05-28,A000037,5464.83
2026-06-28,A000037,6006.52
2025-07-28,A000038,10146.52
2025-08-28,A000038,9846.27
2025-09-28,A000038,10291.94
2025-10-28,A000038,10722.29
2025-11-28,A000038,10888.33
2025-12-28,A000038,10786.06
2026-01-28,A000038,10814.62
2026-02-28,A000038,11374.65
2026-03-28,A000038,11604.66
2026-04-28,A000038,11384.28
2026-05-28,A000038,11224.98
2026-06-28,A000038,11447.19
2025-07-28,A000039,16600.4
2025-08-28,A000039,16738.59
2025-09-28,A000039,17668.5
2025-10-28,A000039,17582.86
2025-11-28,A000039,17217.41
2025-12-28,A000039,17021.22
2026-01-28,A000039,17212.01
2026-02-28,A000039,17688.86
2026-03-28,A000039,17805.49
2026-04-28,A000039,19040.62
2026-05-28,A000039,18371.8
2026-06-28,A000039,19415.49
2025-07-28,A000040,6487.01
2025-08-28,A000040,7362.42
2025-09-28,A000040,6841.34
2025-10-28,A000040,6823.03
2025-11-28,A000040,6779.32
2025-12-28,A000040,6768.95
2026-01-28,A000040,7810.46
2026-02-28,A000040,9009.65
2026-03-28,A000040,8748.38
2026-04-28,A000040,9783.09
2026-05-28,A000040,9509.27
2026-06-28,A000040,9964.79
2025-07-28,A000041,13619.96
2025-08-28,A000041,13929.7
2025-09-28,A000041,13649.76
2025-10-28,A000041,14431.66
2025-11-28,A000041,14944.27
2025-12-28,A000041,14958.87
2026-01-28,A000041,16858.15
2026-02-28,A000041,17704.84
2026-03-28,A000041,16813.54
2026-04-28,A000041,18122.75
2026-05-28,A000041,19094.08
2026-06-28,A000041,19324.78
2025-07-28,A000042,1177.96
2025-08-28,A000042,1557.47
2025-09-28,A000042,1911.22
2025-10-28,A000042,2844.6
2025-11-28,A000042,2669.38
2025-12-28,A000042,2600.01
2026-01-28,A000042,3337.08
2026-02-28,A000042,3847.85
2026-03-28,A000042,3568.11
2026-04-28,A000042,3853.62
2026-05-28,A000042,4245.28
2026-06-28,A000042,3853.23
2025-07-28,A000043,8701.12
2025-08-28,A000043,8735.55
2025-09-28,A000043,9091.43
2025-10-28,A000043,9075.55
2025-11-28,A000043,9385.04
2025-12-28,A000043,9712.87
2026-01-28,A000043,10247.31
2026-02-28,A000043,10808.43
2026-03-28,A000043,11189.86
2026-04-28,A000043,11149.26
2026-05-28,A000043,11674.93
2026-06-28,A000043,11756.53
2025-07-28,A000044,5910.0
2025-08-28,A000044,6683.38
2025-09-28,A000044,7670.77
2025-10-28,A000044,8005.28
2025-11-28,A000044,8246.86
2025-12-28,A000044,8856.91
2026-01-28,A000044,9557.51
2026-02-28,A000044,10339.68
2026-03-28,A000044,10547.28
2026-04-28,A000044,10134.12
2026-05-28,A000044,10077.35
2026-06-28,A000044,10408.07
2025-07-28,A000045,2827.4
2025-08-28,A000045,2618.47
2025-09-28,A000045,2497.07
2025-10-28,A000045,1640.83
2025-11-28,A000045,1743.08
2025-12-28,A000045,1325.54
2026-01-28,A000045,1000.32
2026-02-28,A000045,706.24
2026-03-28,A000045,281.72
2026-04-28,A000045,-557.54
2026-05-28,A000045,-862.11
2026-06-28,A000045,-1631.27
2025-07-28,A000046,16667.63
2025-08-28,A000046,16793.21
2025-09-28,A000046,17686.13
2025-10-28,A000046,18857.51
2025-11-28,A000046,19954.92
2025-12-28,A000046,21134.75
2026-01-28,A000046,22018.72
2026-02-28,A000046,21789.66
2026-03-28,A000046,21792.5
2026-04-28,A000046,22446.23
2026-05-28,A000046,22569.29
2026-06-28,A000046,22107.79
2025-07-28,A000047,6950.57
2025-08-28,A000047,7521.21
2025-09-28,A000047,7109.32
2025-10-28,A000047,6742.95
2025-11-28,A000047,6056.09
2025-12-28,A000047,6630.12
2026-01-28,A000047,5918.42
2026-02-28,A000047,5286.59
2026-03-28,A000047,5026.57
2026-04-28,A000047,4758.67
2026-05-28,A000047,4011.56
2026-06-28,A000047,3114.68
2025-07-28,A000048,13779.93
2025-08-28,A000048,13720.71
2025-09-28,A000048,13383.08
2025-10-28,A000048,13772.6
2025-11-28,A000048,14635.7
2025-12-28,A000048,14859.26
2026-01-28,A000048,15874.41
2026-02-28,A000048,15273.51
2026-03-28,A000048,14470.08
2026-04-28,A000048,14413.09
2026-05-28,A000048,15714.89
2026-06-28,A000048,16099.59
2025-07-28,A000049,9924.43
2025-08-28,A000049,9111.56
2025-09-28,A000049,9310.81
2025-10-28,A000049,8282.7
2025-11-28,A000049,8959.37
2025-12-28,A000049,8864.12
2026-01-28,A000049,8069.84
2026-02-28,A000049,6988.95
2026-03-28,A000049,7749.67
2026-04-28,A000049,7766.21
2026-05-28,A000049,8575.72
2026-06-28,A000049,8181.29
2025-07-28,A000050,4607.68
2025-08-28,A000050,5965.11
2025-09-28,A000050,7063.12
2025-10-28,A000050,8120.58
2025-11-28,A000050,7520.45
2025-12-28,A000050,8811.37
2026-01-28,A000050,9229.29
2026-02-28,A000050,8985.69
2026-03-28,A000050,10369.67
2026-04-28,A000050,10564.62
2026-05-28,A000050,9960.7
2026-06-28,A000050,10943.57
2025-07-28,A000051,938.52
2025-08-28,A000051,603.02
2025-09-28,A000051,2251.39
2025-10-28,A000051,2526.27
2025-11-28,A000051,2930.85
2025-12-28,A000051,4090.75
2026-01-28,A000051,4612.67
2026-02-28,A000051,4886.34
2026-03-28,A000051,5470.87
2026-04-28,A000051,5872.56
2026-05-28,A000051,5255.05
2026-06-28,A000051,5373.41
2025-07-28,A000052,8122.93
2025-08-28,A000052,8417.16
2025-09-28,A000052,8987.81
2025-10-28,A000052,9357.25
2025-11-28,A000052,10751.8
2025-12-28,A000052,10860.13
2026-01-28,A000052,11764.2
2026-02-28,A000052,12200.19
2026-03-28,A000052,12273.68
2026-04-28,A000052,13537.99
2026-05-28,A000052,12869.55
2026-06-28,A000052,12500.49
2025-07-28,A000053,5429.96
2025-08-28,A000053,5654.31
2025-09-28,A000053,6654.51
2025-10-28,A000053,5850.54
2025-11-28,A000053,7440.09
2025-12-28,A000053,7387.97
2026-01-28,A000053,7159.09
2026-02-28,A000053,8738.13
2026-03-28,A000053,10310.83
2026-04-28,A000053,10408.4
2026-05-28,A000053,12013.97
2026-06-28,A000053,12681.6
2025-07-28,A000054,4308.53
2025-08-28,A000054,3997.54
2025-09-28,A000054,4195.8
2025-10-28,A000054,4665.04
2025-11-28,A000054,4633.46
2025-12-28,A000054,4710.52
2026-01-28,A000054,4499.26
2026-02-28,A000054,4192.64
2026-03-28,A000054,4378.01
2026-04-28,A000054,4845.83
2026-05-28,A000054,5508.4
2026-06-28,A000054,6023.69
2025-07-28,A000055,1396.69
2025-08-28,A000055,1147.86
2025-09-28,A000055,1752.0
2025-10-28,A000055,1948.07
2025-11-28,A000055,2600.31
2025-12-28,A000055,2394.52
2026-01-28,A000055,2934.21
2026-02-28,A000055,3021.68
2026-03-28,A000055,2753.59
2026-04-28,A000055,2627.93
2026-05-28,A000055,3009.58
2026-06-28,A000055,3668.13
2025-07-28,A000056,7405.94
2025-08-28,A000056,8078.85
2025-09-28,A000056,8138.16
2025-10-28,A000056,8708.09
2025-11-28,A000056,8935.69
2025-12-28,A000056,9372.86
2026-01-28,A000056,9531.07
2026-02-28,A000056,9389.29
2026-03-28,A000056,9019.58
2026-04-28,A000056,9248.81
2026-05-28,A000056,9088.45
2026-06-28,A000056,9766.58
2025-07-28,A000057,10590.54
2025-08-28,A000057,10038.92
2025-09-28,A000057,8991.43
2025-10-28,A000057,7658.34
2025-11-28,A000057,8939.34
2025-12-28,A000057,10922.88
2026-01-28,A000057,12893.54
2026-02-28,A000057,14720.42
2026-03-28,A000057,15421.23
2026-04-28,A000057,15354.01
2026-05-28,A000057,17187.86
2026-06-28,A000057,17815.4
2025-07-28,A000058,10852.8
2025-08-28,A000058,10971.14
2025-09-28,A000058,11726.76
2025-10-28,A000058,12906.98
2025-11-28,A000058,13316.68
2025-12-28,A000058,13215.61
2026-01-28,A000058,13073.7
2026-02-28,A000058,12890.96
2026-03-28,A000058,13559.81
2026-04-28,A000058,13176.83
2026-05-28,A000058,13864.31
2026-06-28,A000058,14808.02
2025-07-28,A000059,6344.76
2025-08-28,A000059,5620.54
2025-09-28,A000059,6552.06
2025-10-28,A000059,7476.42
2025-11-28,A000059,8090.96
2025-12-28,A000059,8497.08
2026-01-28,A000059,9982.83
2026-02-28,A000059,9501.85
2026-03-28,A000059,9693.31
2026-04-28,A000059,9780.28
2026-05-28,A000059,10094.6
2026-06-28,A000059,10668.31
2025-07-28,A000060,14599.75
2025-08-28,A000060,15642.0
2025-09-28,A000060,15619.66
2025-10-28,A000060,16123.9
2025-11-28,A000060,16019.12
2025-12-28,A000060,17014.52
2026-01-28,A000060,18102.6
2026-02-28,A000060,18823.54
2026-03-28,A000060,18250.9
2026-04-28,A000060,19417.73
2026-05-28,A000060,19696.03
2026-06-28,A000060,19844.3
2025-07-28,A000061,6486.97
2025-08-28,A000061,6696.15
2025-09-28,A000061,7273.8
2025-10-28,A000061,6783.05
2025-11-28,A000061,7239.31
2025-12-28,A000061,7369.73
2026-01-28,A000061,7143.0
2026-02-28,A000061,7948.75
2026-03-28,A000061,8998.38
2026-04-28,A000061,8792.27
2026-05-28,A000061,9084.69
2026-06-28,A000061,8569.16
2025-07-28,A000062,10601.77
2025-08-28,A000062,11729.46
2025-09-28,A000062,11206.02
2025-10-28,A000062,11248.14
2025-11-28,A000062,12264.58
2025-12-28,A000062,12423.21
2026-01-28,A000062,12926.66
2026-02-28,A000062,13715.1
2026-03-28,A000062,14686.87
2026-04-28,A000062,14840.34
2026-05-28,A000062,16340.94
2026-06-28,A000062,17174.44
2025-07-28,A000063,2145.98
2025-08-28,A000063,1813.35
2025-09-28,A000063,2091.13
2025-10-28,A000063,1465.05
2025-11-28,A000063,1620.34
2025-12-28,A000063,1621.35
2026-01-28,A000063,1361.78
2026-02-28,A000063,496.28
2026-03-28,A000063,-96.56
2026-04-28,A000063,137.34
2026-05-28,A000063,-18.28
2026-06-28,A000063,-693.63
2025-07-28,A000064,4726.61
2025-08-28,A000064,5115.55
2025-09-28,A000064,5287.28
2025-10-28,A000064,5645.29
2025-11-28,A000064,6305.35
2025-12-28,A000064,6861.11
2026-01-28,A000064,7201.18
2026-02-28,A000064,6889.61
2026-03-28,A000064,6939.2
2026-04-28,A000064,7124.79
2026-05-28,A000064,7672.85
2026-06-28,A000064,8149.99
2025-07-28,A000065,2666.7
2025-08-28,A000065,3602.3
2025-09-28,A000065,4148.31
2025-10-28,A000065,3735.36
2025-11-28,A000065,4069.52
2025-12-28,A000065,4443.45
2026-01-28,A000065,5501.26
2026-02-28,A000065,5705.75
2026-03-28,A000065,6562.27
2026-04-28,A000065,7289.68
2026-05-28,A000065,7385.31
2026-06-28,A000065,8137.69
2025-07-28,A000066,15160.23
2025-08-28,A000066,14805.91
2025-09-28,A000066,14831.55
2025-10-28,A000066,15937.32
2025-11-28,A000066,16387.89
2025-12-28,A000066,17205.43
2026-01-28,A000066,16941.77
2026-02-28,A000066,16333.81
2026-03-28,A000066,17235.52
2026-04-28,A000066,17421.88
2026-05-28,A000066,18743.72
2026-06-28,A000066,18104.96
2025-07-28,A000067,2480.06
2025-08-28,A000067,3850.76
2025-09-28,A000067,4469.05
2025-10-28,A000067,4346.34
2025-11-28,A000067,5539.02
2025-12-28,A000067,6332.61
2026-01-28,A000067,6094.07
2026-02-28,A000067,6836.02
2026-03-28,A000067,7030.41
2026-04-28,A000067,6838.89
2026-05-28,A000067,7442.35
2026-06-28,A000067,8605.61
2025-07-28,A000068,9805.45
2025-08-28,A000068,10038.1
2025-09-28,A000068,10783.89
2025-10-28,A000068,10542.11
2025-11-28,A000068,10886.35
2025-12-28,A000068,11605.79
2026-01-28,A000068,12614.46
2026-02-28,A000068,13554.13
2026-03-28,A000068,13180.75
2026-04-28,A000068,12617.82
2026-05-28,A000068,14084.14
2026-06-28,A000068,14773.57
2025-07-28,A000069,6504.91
2025-08-28,A000069,5867.14
2025-09-28,A000069,5428.31
2025-10-28,A000069,6262.77
2025-11-28,A000069,5470.21
2025-12-28,A000069,4133.34
2026-01-28,A000069,3472.31
2026-02-28,A000069,2570.05
2026-03-28,A000069,1484.53
2026-04-28,A000069,1749.93
2026-05-28,A000069,2088.95
2026-06-28,A000069,2685.93
2025-07-28,A000070,1143.62
2025-08-28,A000070,1592.07
2025-09-28,A000070,1646.38
2025-10-28,A000070,2532.45
2025-11-28,A000070,2549.21
2025-12-28,A000070,2502.78
2026-01-28,A000070,2113.41
2026-02-28,A000070,1783.99
2026-03-28,A000070,1887.63
2026-04-28,A000070,2524.99
2026-05-28,A000070,1963.53
2026-06-28,A000070,787.87
2025-07-28,A000071,15427.13
2025-08-28,A000071,15078.39
2025-09-28,A000071,15256.19
2025-10-28,A000071,14676.0
2025-11-28,A000071,14015.63
2025-12-28,A000071,13551.26
2026-01-28,A000071,13244.09
2026-02-28,A000071,13236.14
2026-03-28,A000071,12759.35
2026-04-28,A000071,12682.25
2026-05-28,A000071,11941.19
2026-06-28,A000071,11242.4
2025-07-28,A000072,6373.2
2025-08-28,A000072,7082.59
2025-09-28,A000072,7186.2
2025-10-28,A000072,7828.39
2025-11-28,A000072,7895.47
2025-12-28,A000072,7221.56
2026-01-28,A000072,8322.56
2026-02-28,A000072,9171.36
2026-03-28,A000072,8425.97
2026-04-28,A000072,8592.49
2026-05-28,A000072,10272.92
2026-06-28,A000072,9210.26
2025-07-28,A000073,2927.41
2025-08-28,A000073,3705.49
2025-09-28,A000073,3975.28
2025-10-28,A000073,4317.18
2025-11-28,A000073,4234.8
2025-12-28,A000073,4962.49
2026-01-28,A000073,5567.95
2026-02-28,A000073,5479.67
2026-03-28,A000073,5906.0
